generation,N,z
0,20.0,1
1,27.41139289412569,1
2,37.27027447019424,1
3,50.134338133928665,1
4,66.48948432464061,1
5,86.57991649930779,1
6,110.18126535726933,1
7,136.38967645509348,1
8,163.5721619101437,1
9,189.62931492328863,1
10,212.56632586666348,1
11,231.10314580965527,1
12,244.95260626479472,1
13,254.63996459458772,1
14,261.0805142699545,1
15,265.2096031813905,1
16,267.7925743333483,1
17,269.38285239983065,1
18,270.35218543031624,1
19,270.93937859449227,1
20,271.29373783575795,1
21,271.50709552803596,1
22,271.63537874601974,1
23,271.71244568462436,1
24,271.7587208380228,1
25,271.7864985411456,1
26,271.80316970616747,1
27,271.8131740413967,1
28,271.81917723171955,1
29,271.82277935805183,1
30,271.824940710228,1
31,271.82623754903085,1
32,271.8270156622118,1
33,271.8274825336842,1
34,271.82776265785066,1
35,271.8279307328124,1
36,271.8280315779557,1
37,271.82809208510156,1
38,271.8281283894106,1
39,271.8281501720038,1
40,271.8281632415625,1
41,271.82817108329874,1
42,271.82817578834084,1
43,271.82817861136624,1
44,271.8281803051815,1
45,271.8281813214707,1
46,271.8281819312442,1
47,271.82818229710836,1
48,271.82818251662684,1
49,271.82818264833793,1
50,271.82818272736455,1
51,271.82818277478054,1
52,271.8281828032301,1
53,271.82818282029984,1
54,271.8281828305417,1
55,271.82818283668684,1
56,271.8281828403739,1
57,271.82818284258616,1
58,271.8281828439135,1
59,271.8281828447099,1
60,271.8281828451877,1
61,271.82818284547443,1
62,271.82818284564644,1
63,271.82818284574967,1
64,271.8281828458116,1
65,271.8281828458488,1
66,271.8281828458711,1
67,271.82818284588444,1
68,271.82818284589246,1
69,271.8281828458973,1
70,271.8281828459002,1
71,271.8281828459019,1
72,271.8281828459029,1
73,271.82818284590354,1
74,271.82818284590394,1
75,271.82818284590417,1
76,271.8281828459043,1
77,271.8281828459044,1
78,271.82818284590445,1
79,271.82818284590445,1
80,271.82818284590445,1
81,271.82818284590445,1
82,271.82818284590445,1
83,271.82818284590445,1
84,271.82818284590445,1
85,271.82818284590445,1
86,271.82818284590445,1
87,271.82818284590445,1
88,271.82818284590445,1
89,271.82818284590445,1
90,271.82818284590445,1
91,271.82818284590445,1
92,271.82818284590445,1
93,271.82818284590445,1
94,271.82818284590445,1
95,271.82818284590445,1
96,271.82818284590445,1
97,271.82818284590445,1
98,271.82818284590445,1
99,271.82818284590445,1
